"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.705",0.949085096227668,0.695346305755155,0.433784820184385,-0.275390483980851,-0.34021181587212,0.30624746057375
"Gene.706",0.970426857391092,0.696220201623858,0.498645559464032,-0.240133882433555,-0.289402133579378,0.222299291520625
"Gene.707",0.905711683712232,0.578237057597112,0.505370865098558,-0.197687867639688,-0.241332435208803,0.173529161037236
"Gene.708",0.623274638604248,0.882507003173745,-0.106212780318256,-0.609939185093108,-0.595568271914749,0.485016906190245
"Gene.709",0.890734828811627,0.652756940425393,0.340475592071213,-0.290815550437646,-0.306961808474891,0.432942083958536
"Gene.710",0.941185054519657,0.664742020723097,0.514960931153049,-0.19414442378594,-0.144713226988852,0.254128642695233
"Gene.711",0.925845566943835,0.718275191137209,0.413345894907225,-0.307427607194692,-0.257189806133809,0.306142676185308
"Gene.712",0.334978751769464,0.830262588428199,-0.366286107390759,-0.65671905564232,-0.370402180342158,0.653157828013411
"Gene.713",0.147170083783142,-0.0120523090024918,0.725111627378588,0.592521311786526,0.349787006091086,-0.475508961574658
"Gene.714",-0.23588398317539,-0.363298379730933,0.362017111941625,0.515493351190759,0.211687987507986,-0.709580003047998
"Gene.715",0.93092870729892,0.60706360246461,0.470215159258137,-0.24602515540989,-0.447034049712798,0.126778845155879
"Gene.716",0.871733737586312,0.840783509875149,0.197869882829259,-0.49195056716285,-0.53186576109892,0.393585889707899
"Gene.717",0.85466679576576,0.594319736127137,0.417683222847112,-0.195381632751698,-0.125925977679399,0.37799359647677
"Gene.718",-0.07897775198927,-0.487752243942097,0.649541027554078,0.71473428184406,0.759887750345732,-0.595576298589517
"Gene.719",0.956402441075239,0.724166147366261,0.47369178801968,-0.254324917846581,-0.219439169727688,0.31312248378212
"Gene.720",-0.188506224553328,-0.516121840294868,0.507986381413693,0.692260864281643,0.302743658654856,-0.59097237478332
"Gene.721",0.756960489343896,0.533728269736665,0.134259694251381,-0.444960916160685,-0.547648232804681,0.313652799845052
"Gene.722",0.144311517585816,0.302851950706135,-0.541214263764816,-0.594074457879485,-0.520547649077959,0.628696849515715
"Gene.723",0.732839718966969,0.468645458151006,0.212703021792834,-0.306649071694149,-0.48395328378235,0.363158002080355
"Gene.724",0.906159588081185,0.739462076369084,0.3053539485458,-0.41152534398094,-0.423692664827513,0.306398781699989
"Gene.725",0.947992981865203,0.858397382456448,0.344645578079699,-0.380662816737526,-0.332929742919826,0.425302070677071
"Gene.726",0.860081307541067,0.74878497711032,0.263706789628401,-0.396251986666668,-0.509269111183489,0.287359539561271
"Gene.727",0.291956026582687,0.554831741529811,-0.503710574945662,-0.701589849223791,-0.588481360570392,0.774164525222056
"Gene.728",0.811753226953202,0.88957546547071,0.152546376741087,-0.472809435792208,-0.445241863512593,0.493021822679378
"Gene.729",0.285839998270579,-0.272110386068216,0.88347665702887,0.704856068835722,0.516522325120538,-0.456958463736536
"Gene.730",0.949846677188246,0.632635936653272,0.511639681173738,-0.211390089485045,-0.218758498001322,0.225554798644593
"Gene.731",0.939507829263164,0.78428034315505,0.387129822818328,-0.325762014595165,-0.247139751818767,0.370749171766646
"Gene.732",0.952082917650389,0.675846223176992,0.398360747873509,-0.312629304171901,-0.386782641334256,0.319570214953994
