1912,2455,3851,2064,1912,2064,2141,2455,1912,2496
1923,2474,3853,2141,1923,2141,2186,2496,1923,2528
1953,2496,3860,2155,1953,2155,2188,2503,1953,3837
1984,3822,3862,2169,1984,2169,2299,3824,1973,3851
1995,3824,3869,2179,1995,2179,2386,3853,2025,3853
2027,3837,3876,2189,2027,2189,2391,3860,2027,3859
2043,3840,3877,2244,2043,2244,2396,3862,2064,3860
2064,3851,3886,2287,2064,2287,2404,3869,2066,3862
2141,3853,3899,2396,2141,2396,2407,3876,2141,3869
2155,3860,3907,2399,2155,2399,2421,3877,2149,3876
2188,3862,3910,2404,2188,2404,2424,3885,2169,3877
2189,3869,3929,2421,2189,2421,2427,3921,2186,3885
2385,3874,3954,2427,2385,2427,2439,3926,2281,3886
2391,3876,3958,2434,2391,2434,2441,3929,2392,3901
2396,3877,3960,2439,2396,2439,2442,3939,2395,3902
2399,3885,3967,2441,2399,2441,2455,3954,2396,3904
2404,3886,3971,2442,2404,2442,2496,3960,2404,3913
2427,3901,3982,2455,2427,2455,2511,3962,2424,3921
2428,3904,3996,2474,2428,2474,3824,3967,2427,3929
2439,3921,4019,2476,2439,2476,3837,3971,2439,3939
2441,3929,4021,2496,2441,2496,3848,3982,2441,3954
2442,3934,4040,2511,2442,2511,3851,3985,2442,3956
2455,3939,4051,2514,2455,2514,3853,3996,2455,3958
2474,3954,4054,3824,2474,3824,3860,4019,2474,3962
2496,3956,4065,3837,2496,3837,3862,4020,2496,3967
2503,3967,4075,3848,2503,3848,3869,4040,2511,3971
2511,3971,4090,3851,2511,3851,3876,4051,3822,3982
2528,3982,4094,3853,2528,3853,3886,4054,3831,3996
3824,3996,4109,3859,3824,3859,3901,4069,3832,4019
3840,3999,4111,3860,3840,3860,3904,4075,3837,4020
3851,4019,4115,3862,3851,3862,3907,4078,3844,4021
3853,4047,4130,3869,3853,3869,3910,4090,3848,4024
3859,4054,4138,3876,3859,3876,3914,4094,3860,4040
3862,4065,4139,3877,3862,3877,3921,4109,3862,4047
3869,4067,4163,3899,3869,3899,3929,4115,3869,4051
3870,4069,4170,3901,3870,3901,3934,4121,3874,4054
3876,4075,4196,3921,3876,3921,3939,4130,3876,4065
3877,4084,4205,3926,3877,3926,3956,4138,3877,4069
3886,4090,4215,3929,3886,3929,3967,4163,3885,4075
3892,4094,4234,3939,3892,3939,3971,4196,3886,4090
3899,4109,4259,3946,3899,3946,3977,4224,3901,4094
3910,4115,4272,3954,3910,3954,3982,4234,3904,4109
3921,4138,4282,3958,3921,3958,3996,4259,3921,4115
3929,4170,4286,3962,3929,3962,3999,4272,3925,4138
3939,4190,4293,3967,3939,3967,4019,4274,3929,4170
3962,4210,4294,3971,3962,3971,4040,4282,3939,4192
3967,4214,4307,3982,3967,3982,4047,4284,3954,4196
3971,4222,4356,3996,3971,3996,4051,4286,3956,4259
3982,4246,4365,4019,3982,4019,4054,4293,3958,4268
3996,4259,4367,4020,3996,4020,4065,4305,3967,4272
4006,4272,4370,4051,4006,4051,4075,4314,3971,4282
4019,4282,4375,4054,4019,4054,4078,4324,3977,4286
4040,4284,4448,4075,4040,4075,4084,4340,3982,4293
4051,4286,4463,4090,4051,4090,4090,4356,3996,4367
4054,4293,4472,4094,4054,4094,4094,4367,3999,4448
4065,4307,4495,4109,4065,4109,4109,4384,4019,4463
4075,4324,4517,4115,4075,4115,4115,4463,4020,4472
4090,4367,4549,4170,4090,4170,4121,4495,4047,4495
4094,4372,4556,4196,4094,4196,4138,4500,4054,4500
4115,4375,,4222,4115,4222,4170,4516,4065,4519
4138,4384,,4234,4138,4234,4214,4519,4067,4549
4163,4463,,4247,4163,4247,4234,4549,4069,4571
