"","V1","V2","V3"
"376",0.32208,0.037986,0.093972
"377",0.32166,0.04187,0.097007
"378",0.26292,0.018604,0.066751
"379",0.30406,0.032551,0.086057
"380",0.30082,0.031655,0.084699
"381",0.25754,0.016607,0.064088
"382",0.33428,0.046023,0.10283
"383",0.24827,0.01627,0.061989
"384",0.31953,0.041539,0.096323
"385",0.34604,0.055308,0.1126
"386",0.31145,0.033185,0.088021
"387",0.30171,0.026321,0.08059
"388",0.26454,0.020021,0.068208
"389",0.24902,0.017374,0.063024
"390",0.35643,0.054912,0.11433
"391",0.27013,0.024334,0.072773
"392",0.2948,0.031916,0.083723
"393",0.34628,0.052724,0.11057
"394",0.26616,0.020613,0.069003
"395",0.30123,0.027739,0.081635
"396",0.28067,0.028001,0.077793
"397",0.29881,0.035092,0.087062
"398",0.34041,0.047724,0.1054
"399",0.28535,0.024049,0.075544
"400",0.31553,0.03549,0.090676
"401",0.27214,0.024644,0.073418
"402",0.27388,0.024205,0.073408
"403",0.29398,0.027632,0.080121
"404",0.30426,0.028776,0.083066
"405",0.26112,0.018362,0.066203
"406",0.33858,0.050592,0.10735
"407",0.2122,0.0072639,0.047651
"408",0.26731,0.022025,0.070363
"409",0.27161,0.023312,0.072243
"410",0.27763,0.028219,0.077371
"411",0.29205,0.024178,0.076967
"412",0.34346,0.055291,0.11208
"413",0.27749,0.024987,0.074746
"414",0.34212,0.048282,0.10619
"415",0.31906,0.040741,0.095589
"416",0.30177,0.032185,0.085312
"417",0.35538,0.052452,0.11215
"418",0.32582,0.043717,0.099311
"419",0.28746,0.026525,0.077946
"420",0.29691,0.024734,0.078371
"421",0.27951,0.020461,0.071512
"422",0.32963,0.044125,0.10039
"423",0.31823,0.040477,0.095214
"424",0.2635,0.022567,0.070047
"425",0.33975,0.050513,0.10751
"426",0.28433,0.02319,0.074651
"427",0.28078,0.023668,0.074336
"428",0.22782,0.011683,0.054277
"429",0.37504,0.066364,0.12719
"430",0.32722,0.038562,0.095448
"431",0.26318,0.016495,0.065108
"432",0.31992,0.042365,0.097062
"433",0.28182,0.024464,0.07518
"434",0.27089,0.021533,0.070674
"435",0.29394,0.025456,0.078365
"436",0.26935,0.019225,0.068517
"437",0.30906,0.029521,0.084609
"438",0.28652,0.027077,0.078204
"439",0.29757,0.029808,0.082576
"440",0.31381,0.039694,0.093713
"441",0.28215,0.024978,0.075658
"442",0.26165,0.019017,0.066832
"443",0.32108,0.041672,0.096733
"444",0.31614,0.039348,0.093895
"445",0.29553,0.029342,0.081799
"446",0.38016,0.070852,0.13181
"447",0.28019,0.02595,0.076052
"448",0.32706,0.040125,0.09667
"449",0.26335,0.021064,0.068811
"450",0.24498,0.014275,0.059739
"451",0.33897,0.046045,0.10377
"452",0.33588,0.042453,0.10028
"453",0.30165,0.031966,0.085113
"454",0.28607,0.022986,0.074832
"455",0.27927,0.022974,0.073482
"456",0.25933,0.018691,0.066113
"457",0.36541,0.061726,0.12157
"458",0.2818,0.024121,0.074901
"459",0.28502,0.029117,0.079548
"460",0.26907,0.023302,0.071734
"461",0.34802,0.048325,0.10739
"462",0.3947,0.083016,0.14444
"463",0.26768,0.019518,0.068422
"464",0.34009,0.044339,0.10262
"465",0.32006,0.037885,0.093493
"466",0.26421,0.020396,0.068444
"467",0.24645,0.016113,0.061505
"468",0.30957,0.034987,0.089098
"469",0.29475,0.029972,0.082152
"470",0.31916,0.03827,0.093625
"471",0.31109,0.032326,0.087261
"472",0.30257,0.032253,0.085525
"473",0.29812,0.027748,0.081029
"474",0.31028,0.030773,0.085855
"475",0.36939,0.07044,0.12935
"476",0.31527,0.034032,0.089455
"477",0.34402,0.046284,0.10496
"478",0.31375,0.037086,0.091608
"479",0.36624,0.059421,0.11988
"480",0.31392,0.030335,0.08622
"481",0.32567,0.039111,0.095583
"482",0.29018,0.030742,0.081868
"483",0.28478,0.025235,0.076384
"484",0.40427,0.094163,0.15527
"485",0.28007,0.022523,0.073278
"486",0.3149,0.036903,0.091688
"487",0.2902,0.028017,0.079684
"488",0.33851,0.046191,0.1038
"489",0.32426,0.040542,0.096453
