"","V1","V2","V3"
"2949",0.25706,0.097642,0.15127
"2950",0.31341,0.15388,0.20755
"2951",0.27614,0.11868,0.17164
"2952",0.27071,0.11263,0.16581
"2953",0.29613,0.13726,0.1907
"2954",0.28635,0.12881,0.1818
"2955",0.27137,0.11242,0.16589
"2956",0.29555,0.13677,0.19018
"2957",0.31008,0.15068,0.2043
"2958",0.29088,0.13208,0.18549
"2959",0.31211,0.15271,0.20633
"2960",0.26446,0.10553,0.15899
"2961",0.28297,0.12395,0.17745
"2962",0.29928,0.14031,0.19378
"2963",0.30026,0.14109,0.19463
"2964",0.28425,0.12549,0.17889
"2965",0.2757,0.11773,0.17087
"2966",0.30881,0.14951,0.2031
"2967",0.26702,0.11091,0.16343
"2968",0.28589,0.12703,0.18047
"2969",0.29945,0.14041,0.19391
"2970",0.28952,0.13111,0.1844
"2971",0.30928,0.14997,0.20355
"2972",0.28128,0.12252,0.17592
"2973",0.26731,0.11147,0.16389
"2974",0.3116,0.15212,0.20577
"2975",0.28857,0.12962,0.18309
"2976",0.2963,0.13696,0.19056
"2977",0.28672,0.12764,0.18115
"2978",0.29732,0.13816,0.19169
"2979",0.28606,0.12742,0.18078
"2980",0.30563,0.14637,0.19994
"2981",0.31195,0.15256,0.20618
"2982",0.3003,0.1411,0.19465
"2983",0.29759,0.13909,0.1924
"2984",0.29008,0.13077,0.18436
"2985",0.29307,0.13453,0.18786
"2986",0.29017,0.13144,0.18483
"2987",0.27749,0.12037,0.17322
"2988",0.28233,0.124,0.17726
"2989",0.26273,0.10582,0.1586
"2990",0.32075,0.16137,0.21498
"2991",0.30941,0.15023,0.20378
"2992",0.30159,0.14243,0.19597
"2993",0.25793,0.10177,0.1543
"2994",0.28212,0.12497,0.17783
"2995",0.26543,0.10694,0.16026
"2996",0.28533,0.12632,0.1798
"2997",0.28753,0.12953,0.18268
"2998",0.30009,0.14087,0.19443
"2999",0.30345,0.14409,0.1977
"3000",0.30205,0.14283,0.19638
"3001",0.27116,0.11409,0.16692
"3002",0.29337,0.13422,0.18775
"3003",0.27502,0.11816,0.17092
"3004",0.28279,0.12424,0.17757
"3005",0.23832,0.079078,0.13265
"3006",0.27992,0.12091,0.1744
"3007",0.29333,0.1345,0.18793
"3008",0.28885,0.13123,0.18425
"3009",0.30934,0.15009,0.20366
"3010",0.29,0.13135,0.18472
"3011",0.32186,0.1626,0.21617
"3012",0.2849,0.12723,0.18027
"3013",0.27118,0.11504,0.16756
"3014",0.28602,0.12724,0.18065
"3015",0.23831,0.079452,0.13289
"3016",0.29988,0.14094,0.19441
"3017",0.28559,0.12768,0.18079
"3018",0.27263,0.11581,0.16857
"3019",0.29073,0.1317,0.18519
"3020",0.31931,0.15972,0.2134
"3021",0.29624,0.13727,0.19075
"3022",0.30721,0.14812,0.20164
"3023",0.29576,0.13668,0.1902
"3024",0.30151,0.14222,0.19581
"3025",0.29547,0.13671,0.19012
"3026",0.27451,0.11528,0.16885
"3027",0.29261,0.13394,0.18732
"3028",0.27137,0.11475,0.16743
"3029",0.2805,0.1231,0.17605
"3030",0.29057,0.13132,0.18489
"3031",0.26549,0.10642,0.15993
"3032",0.26908,0.11159,0.16457
"3033",0.29617,0.13693,0.1905
"3034",0.29911,0.13996,0.19349
"3035",0.28707,0.12801,0.18152
"3036",0.30004,0.14087,0.19441
"3037",0.26086,0.10274,0.15593
"3038",0.28725,0.12942,0.18251
"3039",0.28691,0.12782,0.18134
"3040",0.29491,0.13572,0.18927
